FID;name;country;sitename;latitude;longitude;collector;collectiondate;CS_number;ID_POP;ID_IMP;Accuracy;
8213;Pro-0;ESP;Pro;43.25;-6;Joy Bergelson;;;RgMap;IMP;0.971745425;
8214;Gy-0;FRA;Gy;49;2;Albert Kranz;;CS78901;RgMap;REF;0.987243055;
8215;Fei-0;POR;Fei;40.5;-8.32;Carlos Alonso-Blanco;;;RgMap;IMP;0.973960844;
8218;Eden-4;SWE;Eden;62.877;18.177;Magnus Nordborg;6/25/2000 0:00;;RgMap;IMP;0.959823059;
8222;Lis-2;SWE;Lis;560.328;14.775;Magnus Nordborg;6/13/2000 0:00;CS77043;RgMap;REF;0.981800851;
8225;T760;SWE;Eslöv 11;55.86;133.103;Mattias Jakobsson;01/01/2003 00:00;;RgMap;IMP;0.928598161;
8227;THÖ 03;SWE;THÖ;627.989;179.103;Mattias Jakobsson;01/01/2003 00:00;CS77367;RgMap;REF;0.99207697;
8230;Algutsrum;SWE;Algutsrum;56.68;16.5;Magnus Nordborg;;CS76657;RgMap;REF;0.983662828;
8231;Brö1-6;SWE;Brömsebro;56.3;16;Magnus Nordborg;5/15/2000 0:00;CS76726;RgMap;REF;0.985257005;
8233;Dem-4;USA;Dem;411.876;-871.923;Joy Bergelson;;CS76794;RgMap;REF;0.998137237;
8234;Gul1-2;SWE;Gullabo;564.606;158.127;Magnus Nordborg;5/15/2000 0:00;CS76896;1001G;REF;0.984475659;
8235;Hod;CZE;Hodonin;48.8;17.1;Jirina Relichov;5/31/2000 0:00;CS76924;RgMap;REF;0.972515476;
8236;HSm;CZE;Horni Smrcne;49.33;15.76;Jirina Relichov;5/31/2000 0:00;CS76941;RgMap;REF;0.981270108;
8237;Kävlinge-1;SWE;Kävlinge;55.8;13.1;Torbjorn Sall;01/01/1999 00:00;CS76964;RgMap;REF;0.993258487;
8238;Kent;UK;Kent;51.15;0.4;Magnus Nordborg;;CS76967;RgMap;REF;0.991111634;
8239;PHW-3;GER;Koeln;51;7;Paul Williams;;CS76976;RgMap;REF;0.984989179;
8240;Kulturen-1;SWE;Kulturen;55.705;13.196;Torbjorn Sall;;CS76987;RgMap;REF;0.986925851;
8241;Liarum;SWE;Liarum;559.473;13.821;Torbjorn Sall;;CS77038;RgMap;REF;0.989220803;
